Company,Valuation,Date Joined,Industry,City,Country,Continent,Year Founded,Funding,Select Investors,Year Joined,Valuation(billions)
Toss,$7B,2018-12-09,Fintech,Seoul,South Korea,Asia,2013,$844M,"Bessemer Venture Partners, Qualcomm Ventures, Kleiner Perkins Caufield & Byers",2018,7
Ziroom,$7B,2018-01-17,E-commerce & direct-to-consumer,Beijing,China,Asia,2011,$2B,"Sequoia Capital China, Warburg Pincus, General Catalyst",2018,7
Scale AI,$7B,2019-08-05,Artificial intelligence,San Francisco,United States,North America,2018,$603M,"Accel, Y Combinator, Index Ventures",2019,7
Gong,$7B,2020-08-12,Artificial intelligence,Palo Alto,United States,North America,2015,$583M,"Norwest Venture Partners, Next World Capital, Wing Venture Capital",2020,7
TripActions,$7B,2018-11-08,Travel,Palo Alto,United States,North America,2015,$912M,"Andreessen Horowitz, Lightspeed Venture Partners, Zeev Ventures",2018,7
1Password,$7B,2021-07-08,Cybersecurity,Toronto,Canada,North America,2005,$920M,"Slack Fund, Accel, Skip Capital",2021,7
Automation Anywhere,$7B,2018-07-02,Artificial intelligence,San Jose,United States,North America,2003,$849M,"General Atlantic, Goldman Sachs, New Enterprise Associates",2018,7
Gemini,$7B,2021-11-19,Fintech,New York,United States,North America,2015,$424M,"Morgan Creek Digital, Marcy Venture Partners, 10T Fund",2021,7
ConsenSys,$7B,2021-11-17,Fintech,New York,United States,North America,2014,$660M,"Third Point, Electric Capital, Coinbase Ventures",2021,7
Ro,$7B,2020-07-27,Health,New York,United States,North America,2017,$1B,"Initialized Capital, General Catalyst, SignalFire",2020,7
Black Unicorn Factory,$6B,2021-05-20,Other,Los Angeles,United States,North America,2020,$645M,Barter Ventures,2021,6
Easyhome,$6B,2018-02-12,Consumer & retail,Beijing,China,Asia,1999,$2B,"Alibaba Group, Boyu Capital, Borui Capital",2018,6
WeDoctor,$6B,2015-09-22,Health,Hangzhou,China,Asia,2010,$1B,"Tencent, Morningside Group",2015,6
SVOLT,$6B,2020-06-08,Auto & transportation,Changzhou,China,Asia,2018,$3B,"IDG Capital, Bank Of China Group Investment,, SDIC CMC Investment Management",2020,6
Airwallex,$6B,2019-03-25,Fintech,Melbourne,Australia,Oceania,2015,$802M,"DST Global, Sequoia Capital China, Tencent Holdings",2019,6
Deel,$6B,2021-04-21,Fintech,San Francisco,United States,North America,2018,$629M,"Andreessen Horowitz, Spark Capital, Y Combinator",2021,6
Mambu,$6B,2021-01-06,Fintech,Amsterdam,Netherlands,Europe,2011,$448M,"Runa Capital, Acton Capital Partners, Point Nine Capital",2021,6
Mollie,$6B,2020-09-08,Fintech,Amsterdam,Netherlands,Europe,2004,$928M,Technology Crossover Ventures,2020,6
Doctolib,$6B,2019-03-19,Health,Paris,France,Europe,2013,$815M,"BPI France, Kerala Ventures, Accel",2019,6
FiveTran,$6B,2020-06-30,Data management & analytics,Oakland,United States,North America,2012,$728M,"Matrix Partners, Andreessen Horowitz, General Catalyst",2020,6
Postman,$6B,2020-06-11,Internet software & services,San Francisco,United States,North America,2014,$433M,"Nexus Venture Partners, CRV, Insight Partners",2020,6
Back Market,$6B,2021-05-18,E-commerce & direct-to-consumer,Paris,France,Europe,2014,$1B,"Aglae Ventures, Eurazeo, Daphni",2021,6
Cityblock Health,$6B,2020-12-10,Health,Brooklyn,United States,North America,2017,$891M,"Thrive Capital, Maverick Ventures, Redpoint Ventures",2020,6
DataRobot,$6B,2019-07-29,Artificial intelligence,Boston,United States,North America,2012,$1B,"New Enterprise Associates, Accomplice, IA Ventures",2019,6
Personio,$6B,2021-01-19,Internet software & services,Munich,Germany,Europe,2015,$524M,"Global Founders Capital, Nortzone Ventures, Picus Capital",2021,6
RELEX Solutions,$6B,2022-02-17,"Supply chain, logistics, & delivery",Helsinki,Finland,Europe,2005,$803M,"Blackstone, Technology Crossover Ventures, Summit Partners",2022,6
Vice Media,$6B,2011-04-02,Internet software & services,Brooklyn,United States,North America,1994,$1B,"Technology Crossover Ventures, A&E Television Networks",2011,6
Workato,$6B,2021-01-12,Internet software & services,Mountain View,United States,North America,2013,$415M,"Battery Ventures, Storm Ventures, Redpoint Ventures",2021,6
Upgrade,$6B,2018-02-12,Fintech,San Francisco,United States,North America,2016,$587M,"Union Square Ventures, Ribbit Capital, VY Capital",2018,6
Lianjia,$6B,2016-04-07,E-commerce & direct-to-consumer,Beijing,China,Asia,2001,$1B,"Tencent, Baidu, Huasheng Capital",2016,6
Hinge Health,$6B,2021-01-06,Health,San Francisco,United States,North America,2015,$826M,"Atomico, Insight Partners, Coatue Management",2021,6
Lyra Health,$6B,2020-08-25,Health,Burlingame,United States,North America,2015,$910M,"Greylock Partners, Venrock, Providence Ventures",2020,6
Benchling,$6B,2021-04-14,Internet software & services,San Francisco,United States,North America,2012,$412M,"Thrive Capital, Benchmark, MenloVentures",2021,6
Better.com,$6B,2020-11-10,Fintech,New York,United States,North America,2018,$405M,"Pine Brook, American Express Ventures, Kleiner Perkins Caufield & Byers",2020,6
iCapital Network,$6B,2021-07-27,Fintech,New York,United States,North America,2013,$729M,"BlackRock, Blackstone, UBS",2021,6
Wiz,$6B,2021-03-17,Cybersecurity,Tel Aviv,Israel,Asia,2020,$600M,"Insight Partners, Sequoia Capital, Index Ventures",2021,6
DailyHunt,$5B,2020-12-22,Internet software & services,Bengaluru,India,Asia,2007,$869M,"Falcon Edge Capital, Omidyar Network, Sequoia Capital India",2020,5
Howden Group Holdings,$5B,2020-09-29,Other,London,United Kingdom,Europe,1994,$187M,"General Atlantic, 3i Group, Huagai Capital",2020,5
Meesho,$5B,2021-04-05,Internet software & services,Bengaluru,India,Asia,2015,$1B,"Venture Highway, Sequoia Capital India, Prosus Ventures",2021,5
Meizu Technology,$5B,2014-07-23,Hardware,Zhuhai,China,Asia,2003,$943M,"Telling Telecommunication Holding Co., Alibaba Group",2014,5
CloudWalk Technology,$5B,2018-10-08,Artificial intelligence,Guangzhou,China,Asia,2015,$514M,"Oriza Holdings, Guangdong Technology Financial Group",2018,5
Royole Corporation,$5B,2015-08-18,Hardware,Shenzhen,China,Asia,2012,$492M,"Warmsun Holding, IDG Capital Partners",2015,5
Monzo,$5B,2018-10-31,Fintech,London,United Kingdom,Europe,2015,$1B,"Passion Capital, Thrive Capital, Orange Digital Ventures",2018,5
Socure,$5B,2021-03-16,Cybersecurity,New York,United States,North America,2012,$644M,"Two Sigma Ventures, Flint Capital, Commerce Ventures",2021,5
VIPKid,$5B,2016-08-04,Edtech,Beijing,China,Asia,2013,$1B,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures",2016,5
Vinted,$5B,2019-11-27,E-commerce & direct-to-consumer,Vilnius,Lithuania,Europe,2008,$562M,"Accel, Insight Partners, Burda Principal Investments",2019,5
Lendable,$5B,2021-03-31,Fintech,London,United Kingdom,Europe,2014,$286M,"Ontario Teachers' Pension Plan, Goldman Sachs",2021,5
UBTECH Robotics,$5B,2016-07-25,Hardware,Shenzhen,China,Asia,2012,$943M,"CDH Investments, Goldstone Investments, Qiming Venture Partners",2016,5
Anduril,$5B,2019-09-11,Artificial intelligence,Irvine,United States,North America,2017,$691M,"Andreessen Horowitz, Founders Fund, Revolution Ventures",2019,5
Checkr,$5B,2019-09-19,Internet software & services,San Francisco,United States,North America,2014,$559M,"Y Combinator, Accel, T. Rowe Price",2019,5
Color,$5B,2021-01-04,Health,Burlingame,United States,North America,2013,$497M,"General Catalyst, Viking Global Investors, T. Rowe Price",2021,5
Dataiku,$5B,2019-12-04,Internet software & services,New York,United States,North America,2013,$647M,"Alven Capital, FirstMark Capital, capitalG",2019,5
BetterUp,$5B,2021-02-25,Internet software & services,San Francisco,United States,North America,2013,$567M,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital",2021,5
Pleo,$5B,2021-07-06,Fintech,Copenhagen,Denmark,Europe,2015,$428M,"Creandum, Founders, Kinnevik",2021,5
Trade Republic,$5B,2021-05-20,Fintech,Berlin,Germany,Europe,2015,$996M,"Founders Fund, Accel, Creandum",2021,5
Chipone,$5B,2021-12-16,Hardware,Beijing,China,Asia,2008,$1B,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment",2021,5
Collibra,$5B,2019-01-29,Data management & analytics,Brussels,Belgium,Europe,2008,$596M,"Index Ventures, Battery Ventures, ICONIQ Capital",2019,5
Rappi,$5B,2018-08-31,"Supply chain, logistics, & delivery",Bogota,Colombia,South America,2015,$2B,"DST Global, Andreessen Horowitz, Sequoia Capital, Redpoint e.ventures",2018,5
6Sense,$5B,2021-03-30,Artificial intelligence,San Francisco,United States,North America,2013,$426M,"Venrock, Battery Ventures, Insight Partners",2021,5
Cerebral,$5B,2021-06-10,Health,San Francisco,United States,North America,2020,$462M,"Oak HC/FT Partners, Artis Ventures, WestCap Group",2021,5
Creditas,$5B,2020-12-18,Fintech,Sao Paulo,Brazil,South America,2012,$824M,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital",2020,5
OneTrust,$5B,2019-07-11,Internet software & services,Atlanta,United States,North America,2016,$926M,Insight Partners,2019,5
QuintoAndar,$5B,2019-09-09,E-commerce & direct-to-consumer,Campinas,Brazil,South America,2012,$755M,"Kaszek Ventures, General Atlantic, SoftBank Group",2019,5
C6 Bank,$5B,2020-12-02,Fintech,Sao Paulo,Brazil,South America,2018,$2B,Credit Suisse,2020,5
Cockroach Labs,$5B,2021-01-12,Data management & analytics,New York,United States,North America,2015,$633M,"Google Ventures, Benchmark, FirstMark Capital",2021,5
Hopper,$5B,2021-03-24,Travel,Montreal,Canada,North America,2007,$599M,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures",2021,5
Icertis,$5B,2019-07-17,Artificial intelligence,Bellevue,United States,North America,2009,$371M,"Eight Roads Ventures, Greycroft, Ignition Partners",2019,5
Moon Active,$5B,2020-01-26,Mobile & telecommunications,Tel Aviv,Israel,Asia,2011,$425M,"Insight Partners, Andalusian Capital Partners",2020,5
OfBusiness,$5B,2021-07-31,E-commerce & direct-to-consumer,Gurgaon,India,Asia,2015,$734M,"Matrix Partners India, Falcon Edge Capital, SoftBank Group",2021,5
Ola Electric Mobility,$5B,2019-07-02,Auto & transportation,Bengaluru,India,Asia,2019,$761M,"SoftBank Group, Tiger Global Management, Matrix Partners India",2019,5
Pine Labs,$5B,2020-01-24,Fintech,Noida,India,Asia,1998,$903M,"Sequoia Capital India, Temasek, PayPal Ventures",2020,5
Qonto,$5B,2022-01-11,Fintech,Paris,France,Europe,2016,$704M,"Alven Capital, Valar Ventures, Tencent Holdings",2022,5
SambaNova Systems,$5B,2021-04-13,Data management & analytics,Palo Alto,United States,North America,2017,$1B,"Walden International, Google Ventures, Intel Capital",2021,5
United Imaging Healthcare,$5B,2017-09-15,Health,Shanghai,China,Asia,2011,$503M,"China Life Insurance, China Development Bank Capital, CITIC Securities International",2017,5
WM Motor,$5B,2019-03-08,Auto & transportation,Shanghai,China,Asia,2015,$4B,"Baidu Capital, Linear Venture, Tencent",2019,5
ZEPZ,$5B,2021-08-23,Fintech,London,United Kingdom,Europe,2010,$655M,"Accel, Technology Crossover Ventures, LeapFrog Investments",2021,5
Abogen,$4B,2021-11-29,Health,Suzhou,China,Asia,2019,$1B,"Hillhouse Capital Management, SoftBank Group, Qiming Venture Partners",2021,4
Greensill,$4B,2018-07-16,Fintech,London,United Kingdom,Europe,2011,$2B,"SoftBank Group, General Atlantic",2018,4
HyalRoute,$4B,2020-05-26,Mobile & telecommunications,,Singapore,Asia,2015,$263M,Kuang-Chi,2020,4
Radiology Partners,$4B,2018-02-26,Health,El Segundo,United States,North America,2012,$1B,"New Enterprise Associates, Starr Investment Holdings",2018,4
Yello Mobile,$4B,2014-11-11,Mobile & telecommunications,Seoul,South Korea,Asia,2012,$216M,Formation 8,2014,4
Turing,$4B,2021-12-20,Internet software & services,Palo Alto,United States,North America,2018,$128M,"Foundation Capital, Frontier Ventures, AltaIR Capital",2021,4
Lenskart,$4B,2019-12-20,E-commerce & direct-to-consumer,Faridabad,India,Asia,2008,$776M,"Chiratae Ventures, PremjiInvest, Softbank",2019,4
Kraken,$4B,2019-06-25,Fintech,San Francisco,United States,North America,2011,$119M,"Bnk To The Future, Trammell Ventures, SBI Investment",2019,4
Horizon Robotics,$4B,2019-02-27,Artificial intelligence,Beijing,China,Asia,2015,$2B,"Hillhouse Capital Management, Linear Venture, Morningside Venture Capital",2019,4
MoonPay,$4B,2021-11-22,Fintech,Miami,United States,North America,2019,$555M,"New Enterprise Associates, Coatue Management, Tiger Global Management",2021,4
Celsius Network,$4B,2021-10-12,Fintech,Hoboken,United States,North America,2017,$864M,"WestCap Group, Caisse de depot et placement du Quebec",2021,4
ChargeBee Technologies,$4B,2021-04-20,Fintech,Walnut,United States,North America,2011,$468M,"Insight Partners, Tiger Global Management, Accel",2021,4
Coalition,$4B,2021-03-17,Cybersecurity,San Francisco,United States,North America,2017,$505M,"Two Sigma Ventures, Flint Capital, Commerce Ventures",2021,4
Commure,$4B,2021-09-16,Internet software & services,San Francisco,United States,North America,2017,$542M,"General Catalyst, HCA Healthcare",2021,4
Flock Safety,$4B,2021-07-13,Hardware,Atlanta,United States,North America,2017,$381M,"Matrix Partners, Initialized Capital, Tiger Global Management",2021,4
Handshake,$4B,2021-05-12,Internet software & services,San Francisco,United States,North America,2014,$434M,"Kleiner Perkins Caufield & Byers, Lightspeed Venture Partners, True Ventures",2021,4
Highspot,$4B,2021-02-22,Internet software & services,Seattle,United States,North America,2013,$643M,"Madrona Venture Group, Shasta Ventures, Salesforce Ventures",2021,4
Indigo Ag,$4B,2017-09-26,Artificial intelligence,Boston,United States,North America,2014,$1B,"Activant Capital Group, Alaska Permanent Fund, Baillie Gifford & Co.",2017,4
Mirakl,$4B,2020-09-22,E-commerce & direct-to-consumer,Paris,France,Europe,2011,$948M,"Elaia Partners, 83North, Felix Capital",2020,4
